S,S,S,S,S,S,S,W,WAT,H,H,H,H,H,H,W,W,O,O,O,O,O,O,O
S,S,S,S,S,S,S,W,W,H,H,H,H,H,H,W,W,O,O,O,O,O,O,O
S,S,S,S,S,S,S,W,W,H,H,H,H,H,H,W,W,O,O,O,O,O,O,O
S,S,S,S,S,S,SD,W,W,H,H,H,H,H,H,W,W,O,O,O,O,O,O,O
W,W,W,W,W,W,W,W,W,HL,H,H,H,H,H,W,W,O,O,O,O,O,O,O
W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,W,W,OD,O,O,O,O,O,O
L,L,L,L,L,L,W,W,W,H,H,HD,HD,HD,H,W,W,W,W,W,W,W,W,W
L,L,L,L,L,L,L,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
L,L,L,L,L,L,LR,W,W,W,X,X,X,W,W,W,W,W,W,W,W,W,W,W
L,L,L,L,L,L,L,W,W,X,X,X,X,X,W,W,D,DU,D,D,D,D,D,D
L,L,L,LD,L,L,W,W,W,X,X,X,X,X,W,W,D,D,D,D,D,D,D,D
W,W,W,W,W,W,W,W,W,X,X,X,X,X,W,W,D,D,D,D,D,D,D,D
W,W,W,W,W,W,W,W,W,X,X,X,X,X,W,W,D,D,D,D,D,D,D,D
BU,B,B,B,B,B,W,W,W,X,X,X,X,X,W,W,DL,D,D,D,D,D,D,D
B,B,B,B,B,B,W,W,W,X,X,X,X,X,W,W,D,D,D,D,D,D,D,D
B,B,B,B,B,B,W,W,W,W,X,X,X,W,W,W,D,D,D,D,D,D,D,D
B,B,B,B,B,BR,W,W,W,W,W,W,W,W,W,W,W,W,W,D,D,D,D,D
B,B,B,B,B,B,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,A,AU,A,A,A,A,AU,A,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,A,A,A,A,A,A,A,A,W,W,K,KU,K,K,K,K
C,C,C,C,CR,W,W,W,AL,A,A,A,A,A,A,AR,W,W,K,K,K,K,K,K
C,C,C,C,C,C,W,W,A,A,A,A,A,A,A,A,W,W,K,K,K,K,K,K
C,C,C,C,C,C,W,W,A,A,A,A,A,A,A,A,W,W,K,K,K,K,K,K
C,C,C,C,C,C,W,W,A,A,A,A,A,A,A,A,W,W,K,K,K,K,K,K
C,C,C,C,C,C,W,W,W,W,A,A,A,A,W,W,W,W,K,K,K,K,K,K
